location,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,verified,application_date,works_outside_US
"Salt Lake, UT",Utah,-9594.86,24,'critical/other existing credit','used car',6419,16.26,>=7,2,'female div/dep/mar',none,4,'no known property',44,none,'for free',2,'high qualif/self emp/mgmt',2,yes,NO,Bad,?,2/25/1995,NO
"Accomack, VA",Virginia,7720.46,?,'critical/other existing credit','used car',?,40.81,>=7,4,'male single',none,4,'no known property',56,none,'for free',1,skilled,1,none,no,G,?,2/26/1995,no
"Prince William, VA",Virginia,0,48,'critical/other existing credit',business,7629,0,>=7,4,'male div/sep',none,2,car,46,bank,own,2,'high qualif/self emp/mgmt',2,none,No,Bad,?,2/27/1995,NO
"Russell, VA",Virginia,61.96,48,'existing paid',furniture/equipment,9960,64.33,<1,1,?,none,2,car,26,none,own,1,skilled,1,?,YES,GOOD,?,2/28/1995,YES
"Newport News, VA",Virginia,0,12,'existing paid','used car',4675,0,?,1,'female div/dep/mar',none,4,car,20,none,rent,1,skilled,1,none,N,bad,?,3/1/1995,n
"Norfolk, VA",Virginia,0,10,'existing paid',?,1287,0,?,4,'male single','co applicant',2,'life insurance',45,none,?,1,'unskilled resident',1,?,YES,Good,?,3/2/1995,YES
"Portsmouth, VA",Virginia,0,18,?,furniture/equipment,2515,0,1<=X<4,3,'male single',none,4,'real estate',43,none,own,?,skilled,1,yes,y,Bad,?,3/3/1995,y
"Richmond, VA",Virginia,0.31,21,'critical/other existing credit',furniture/equipment,2745,1787.08,4<=X<7,3,'male single',none,2,car,32,none,own,2,skilled,1,yes,1,GOOD,?,3/4/1995,1
"Kitsap, WA",Washington,0,6,'existing paid','new car',672,0,unemployed,1,'female div/dep/mar',none,4,'real estate',54,none,own,1,'unemp/unskilled non res',?,yes,NO,good,?,3/5/1995,NO
"Pierce, WA",Washington,192.02,36,?,radio/tv,3804,0,1<=X<4,4,'female div/dep/mar',none,1,car,42,none,own,1,skilled,?,yes,Yes,GOOD,?,3/6/1995,YES
"Spokane, WA",Washington,5659.69,?,'critical/other existing credit','new car',1344,0,4<=X<7,4,'male single',none,?,'real estate',37,bank,own,2,'unskilled resident',2,none,n,Good,?,3/7/1995,N
"Milwaukee, WI",Wisconsin,-8464.44,10,'critical/other existing credit',?,1038,38.82,4<=X<7,4,'male single','co applicant',?,?,49,none,?,2,skilled,1,yes,Y,Bad,?,3/8/1995,Y
"Anchorage, AK",Alaska,0,48,'critical/other existing credit','new car',?,0,1<=X<4,2,'male single',none,2,'no known property',44,bank,?,1,skilled,1,none,yes,B,?,3/9/1995,yes
"Maricopa, AZ",Arizona,0,6,?,furniture/equipment,1543,0,1<=X<4,4,'male div/sep',none,2,'real estate',33,none,own,1,skilled,1,none,Yes,G,?,3/10/1995,YES
"Maricopa, AZ",Arizona,0,?,'existing paid','used car',4811,0,4<=X<7,2,'female div/dep/mar',none,?,'life insurance',24,stores,rent,1,'unskilled resident',1,none,No,good,?,3/11/1995,NO
"Pima, AZ",Arizona,-8135.03,12,'existing paid',radio/tv,727,473.67,<1,4,'male mar/wid',none,3,'no known property',33,none,own,1,'unskilled resident',1,yes,Yes,bad,?,3/12/1995,YES
"Alameda, CA",California,0,8,?,furniture/equipment,1237,0,1<=X<4,3,'female div/dep/mar',none,4,'real estate',24,none,own,1,skilled,1,none,No,B,?,3/13/1995,NO
"Kern, CA",California,0,9,'existing paid','new car',276,0,1<=X<4,4,'male mar/wid',none,4,'real estate',?,none,rent,?,'unskilled resident',?,none,No,bad,?,3/14/1995,NO
"Los Angeles, CA",California,192.16,48,?,other,5381,0,unemployed,3,?,none,4,'no known property',40,bank,'for free',1,'unemp/unskilled non res',1,yes,NO,GOOD,?,3/15/1995,NO
"Los Angeles, CA",California,0,24,'existing paid',furniture/equipment,5511,0,1<=X<4,4,'male single',none,1,car,25,stores,?,1,skilled,1,none,NO,G,?,3/16/1995,NO
"San Francisco, CA",California,797.21,24,?,furniture/equipment,?,98.87,?,2,?,none,4,car,26,none,own,1,skilled,1,none,Yes,bad,?,3/17/1995,YES
"Los Angeles, CA",California,137.41,12,'existing paid',?,685,38.95,4<=X<7,2,'male mar/wid',none,3,car,25,bank,own,1,'unskilled resident',1,none,yes,good,?,3/18/1995,yes
"Sacramento, CA",California,4365.37,4,'existing paid','new car',1494,0,<1,1,'male single',none,?,?,29,none,own,1,'unskilled resident',2,?,Yes,GOOD,?,3/19/1995,YES
"Sacramento, CA",California,-5992.61,36,'all paid',furniture/equipment,2746,27.23,>=7,4,'male single',?,4,car,31,bank,own,1,?,1,none,No,GOOD,?,3/20/1995,NO
"San Bernardino, CA",California,-3145.9,12,'existing paid',furniture/equipment,708,0,?,2,'male single',guarantor,3,'life insurance',38,?,own,1,'unskilled resident',2,?,n,GOOD,?,3/21/1995,N
"San Diego, CA",California,77.88,24,'existing paid',furniture/equipment,?,0,1<=X<4,1,'female div/dep/mar',none,4,'life insurance',48,none,own,1,?,1,yes,1,GOOD,?,3/22/1995,1
"San Francisco, CA",California,0,12,?,education,701,0,1<=X<4,4,'male single',none,2,car,32,none,own,2,skilled,1,none,Y,B,?,3/23/1995,Y
"El Paso, CO",Colorado,-3417.74,15,'delayed previously',furniture/equipment,3643,16.7,>=7,1,'female div/dep/mar',none,?,'life insurance',27,none,own,2,'unskilled resident',1,none,yes,B,?,3/24/1995,yes
"Denver, CO",Colorado,122,30,'critical/other existing credit',?,4249,90.83,unemployed,4,'male mar/wid',none,2,car,28,none,?,2,'high qualif/self emp/mgmt',1,none,y,GOOD,?,3/25/1995,y
"Hartford, CT",Connecticut,-4562.14,24,'existing paid',radio/tv,1938,17.04,<1,4,'male div/sep',none,3,'life insurance',32,none,?,1,skilled,1,none,Yes,Bad,?,3/26/1995,YES
District of Columbia,District of Columbia,-3923.01,24,'existing paid','used car',2910,74.32,4<=X<7,2,?,?,1,'no known property',34,none,'for free',1,'high qualif/self emp/mgmt',1,yes,n,good,?,3/27/1995,N
"Chatham, GA",Georgia,-7400.92,18,?,furniture/equipment,2659,5806.39,1<=X<4,4,'male single',none,2,car,28,none,?,1,skilled,1,none,YES,good,?,3/28/1995,YES
"Clayton, GA",Georgia,0,18,'critical/other existing credit','new car',1028,0,1<=X<4,4,'female div/dep/mar',?,3,'real estate',36,none,own,2,skilled,1,none,no,Bad,?,3/29/1995,no
"De Kalb, GA",Georgia,-3324.64,8,'critical/other existing credit','new car',3398,61.33,4<=X<7,1,?,none,4,'real estate',39,none,own,2,'unskilled resident',1,none,No,Bad,?,3/30/1995,NO
"Fulton, GA",Georgia,0,12,'critical/other existing credit',furniture/equipment,?,0,>=7,2,'male single',none,4,'life insurance',49,none,rent,1,skilled,1,yes,no,Bad,?,3/31/1995,no
"Fulton, GA",Georgia,0,24,'existing paid','new car',1525,0,4<=X<7,4,'female div/dep/mar',?,3,car,34,none,own,1,skilled,2,yes,y,G,?,4/1/1995,y
"Cook, IL",Illinois,6300.38,36,'existing paid',radio/tv,4473,46.6,>=7,4,'male single',none,2,car,31,none,own,1,skilled,?,none,y,G,?,4/2/1995,y
"Marion, IN",Indiana,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4/3/1995,?
"Jefferson, KY",Kentucky,94.48,6,'existing paid',radio/tv,1068,73.19,>=7,4,'male single',none,4,car,28,none,own,1,skilled,2,none,Y,good,?,4/4/1995,Y
"Caddo, LA",Louisiana,-8908.55,24,'critical/other existing credit','used car',6615,58.88,?,2,'male single',none,4,'no known property',75,none,?,2,'high qualif/self emp/mgmt',1,yes,No,bad,?,4/5/1995,NO
"East Baton Rouge, LA",Louisiana,0,18,'critical/other existing credit',education,1864,0,1<=X<4,4,?,none,2,'real estate',30,none,own,2,skilled,1,?,Yes,good,?,4/6/1995,YES
"Jefferson, LA",Louisiana,106.45,60,'existing paid','new car',7408,479.08,<1,4,?,none,2,?,24,none,own,1,'high qualif/self emp/mgmt',1,none,n,Good,?,4/7/1995,N
"Orleans, LA",Louisiana,0,48,'critical/other existing credit','used car',11590,0,1<=X<4,2,'female div/dep/mar',none,4,car,24,bank,rent,?,'unskilled resident',1,none,yes,GOOD,?,4/8/1995,yes
"Suffolk, MA",Massachusetts,-596.17,24,'no credits/all paid',furniture/equipment,4110,95.01,?,3,'male single',none,?,'no known property',2309,bank,?,2,skilled,2,none,NO,bad,?,4/9/1995,NO
"Anne Arundel, MD",Maryland,-1018.74,6,'critical/other existing credit',furniture/equipment,3384,98.78,1<=X<4,1,'male div/sep',none,4,'real estate',44,none,rent,1,'high qualif/self emp/mgmt',1,?,y,bad,?,4/10/1995,y
"Baltimore city, MD",Maryland,145.59,13,'existing paid',radio/tv,2101,66.57,<1,2,'female div/dep/mar',guarantor,4,'life insurance',23,none,own,1,'unskilled resident',1,none,yes,Good,?,4/11/1995,yes
"Saginaw, MI",Michigan,-6090.13,15,'existing paid','domestic appliance',?,0,1<=X<4,4,'female div/dep/mar',none,2,car,24,?,rent,1,skilled,1,none,NO,B,?,4/12/1995,NO
"Wayne, MI",Michigan,-5498.76,24,'existing paid',furniture/equipment,4169,68.48,1<=X<4,4,'male single',?,?,'life insurance',28,?,own,1,skilled,1,none,no,GOOD,?,4/13/1995,no
"Greene, MO",Missouri,103.39,10,'existing paid',furniture/equipment,?,93.87,1<=X<4,4,'male div/sep',none,2,car,31,?,own,1,'unskilled resident',1,none,YES,good,?,4/14/1995,YES
"Jackson, MO",Missouri,163.9,24,'critical/other existing credit',education,5743,45.64,<1,2,'female div/dep/mar',none,4,'no known property',?,none,'for free',2,skilled,1,yes,Yes,Bad,?,4/15/1995,YES
"Rolla, MO",Missouri,-6405.45,21,'existing paid',furniture/equipment,?,59.79,4<=X<7,1,'female div/dep/mar',none,4,car,?,none,rent,1,'unskilled resident',1,none,no,GOOD,?,4/16/1995,no
"Forrest, MS",Mississippi,193.31,18,'existing paid',radio/tv,3213,0,<1,1,'male mar/wid',none,3,'real estate',25,none,rent,1,skilled,?,none,n,good,?,4/17/1995,N
"Hinds, MS",Mississippi,116.75,18,'existing paid',?,4439,65.84,>=7,1,'male single','co applicant',1,'real estate',33,bank,own,1,'high qualif/self emp/mgmt',1,yes,Yes,Good,?,4/18/1995,YES
"Nash, NC",North Carolina,2557.93,10,'existing paid','new car',3949,0.75,<1,1,'male single',?,?,'life insurance',37,none,own,1,?,2,none,n,GOOD,?,4/19/1995,N
"Guilford, NC",North Carolina,0,15,'critical/other existing credit',radio/tv,1459,0,1<=X<4,4,'female div/dep/mar',none,2,car,43,none,own,1,'unskilled resident',1,none,Yes,G,?,4/20/1995,YES
"Mecklenburg, NC",North Carolina,134.6,?,'critical/other existing credit',radio/tv,882,0,<1,4,'male single',?,4,'real estate',23,none,own,2,skilled,?,none,Yes,B,?,4/21/1995,YES
"Hillsborough, NH",New Hampshire,155.32,24,'existing paid',radio/tv,3758,623.93,unemployed,1,'female div/dep/mar',none,?,'no known property',23,none,rent,1,'unemp/unskilled non res',1,none,No,bad,?,4/22/1995,NO
"Camden, NJ",New Jersey,0,6,'delayed previously',business,1743,0,1<=X<4,?,'male single',none,2,'real estate',34,none,?,2,'unskilled resident',?,none,yes,good,?,4/23/1995,yes
"Mercer, NJ",New Jersey,68.16,9,'critical/other existing credit',education,1136,0,>=7,4,'male single',none,3,?,32,none,'for free',?,?,2,?,no,good,?,4/24/1995,no
"Passaic, NJ",New Jersey,0,9,'existing paid','domestic appliance',1236,0,<1,1,'female div/dep/mar',none,4,'real estate',23,none,rent,1,skilled,1,yes,YES,bad,?,4/25/1995,YES
"Passaic, NJ",New Jersey,9.39,9,'existing paid',furniture/equipment,?,83.12,1<=X<4,1,'female div/dep/mar',none,?,?,29,none,own,1,skilled,1,none,YES,Bad,?,4/26/1995,YES
"Essex, NJ",New Jersey,0,18,'critical/other existing credit','used car',3229,0,unemployed,2,'male single',none,?,'no known property',38,none,?,1,'high qualif/self emp/mgmt',1,yes,y,GOOD,?,4/27/1995,y
"Bernalillo, NM",New Mexico,-5039.28,12,'no credits/all paid',radio/tv,?,84.14,1<=X<4,4,'male single',none,2,?,28,none,rent,?,skilled,1,yes,NO,G,?,4/28/1995,NO
"Clark, NV",Nevada,0,10,'existing paid',education,727,0,>=7,4,'male single',none,4,'no known property',?,none,'for free',1,skilled,1,yes,yes,good,?,4/29/1995,yes
"Washoe, NV",Nevada,0,24,'existing paid','new car',1246,0,<1,4,'male single',none,2,'real estate',23,stores,own,1,'unskilled resident',1,none,Y,G,?,4/30/1995,Y
"Erie, NY",New York,0,12,'critical/other existing credit',radio/tv,2331,0,>=7,1,'male single',?,4,'real estate',49,none,own,1,skilled,1,yes,n,GOOD,?,5/1/1995,N
"Erie, NY",New York,0,36,'delayed previously',radio/tv,?,0,1<=X<4,4,'male single',none,2,?,?,none,own,2,'high qualif/self emp/mgmt',1,yes,N,Good,?,5/2/1995,n
"Monroe, NY",New York,0,12,'existing paid',radio/tv,776,0,1<=X<4,4,'male mar/wid',none,2,'real estate',28,none,?,1,skilled,1,none,no,B,?,5/3/1995,no
"New York, NY",New York,-4887.82,30,'existing paid',furniture/equipment,2406,32.57,?,4,'female div/dep/mar',none,4,'real estate',23,none,?,1,skilled,1,none,NO,G,?,5/4/1995,NO
"Onondaga, NY",New York,85.71,18,'existing paid',education,1239,0,1<=X<4,4,'male single',none,4,'no known property',61,?,?,1,skilled,1,?,No,B,?,5/5/1995,NO
"Suffolk, NY",New York,0,12,'existing paid',radio/tv,3399,0,?,2,'male single',none,3,?,37,none,own,1,'high qualif/self emp/mgmt',1,none,1,G,?,5/6/1995,1
"Mahoning, OH",Ohio,9712.82,12,?,'new car',2247,5.02,1<=X<4,2,'female div/dep/mar',none,2,car,36,stores,own,2,skilled,1,?,No,bad,?,5/7/1995,NO
"Summit, OH",Ohio,0,6,'existing paid',furniture/equipment,1766,0,1<=X<4,?,'male mar/wid',?,2,'life insurance',21,none,rent,?,skilled,1,none,YES,G,?,5/8/1995,YES
"Hamilton, OH",Ohio,-3712.31,18,'existing paid',furniture/equipment,2473,0,unemployed,4,'male single',none,?,car,25,none,?,1,'unemp/unskilled non res',1,none,Yes,G,?,5/9/1995,YES
"Cuyahoga, OH",Ohio,0,12,?,business,1542,0,4<=X<7,2,'male single',none,4,car,36,?,own,1,skilled,1,yes,N,G,?,5/10/1995,n
"Cuyahoga, OH",Ohio,0,18,'critical/other existing credit','used car',3850,0,4<=X<7,3,'male single',none,1,?,27,none,own,2,skilled,?,none,1,GOOD,?,5/11/1995,1
"Franklin, OH",Ohio,0,18,'existing paid',furniture/equipment,3650,0,<1,1,'female div/dep/mar',none,4,car,?,none,rent,1,skilled,1,none,n,good,?,5/12/1995,N
"Dauphin, PA",Pennsylvania,-1319.16,36,'existing paid',furniture/equipment,3446,35.38,>=7,4,'male single',?,2,car,?,none,own,?,skilled,2,none,Yes,GOOD,?,5/13/1995,YES
"Philadelphia, PA",Pennsylvania,94.62,18,'existing paid',furniture/equipment,3001,0,4<=X<7,?,'female div/dep/mar',?,4,'real estate',40,none,rent,1,skilled,1,?,NO,B,?,5/14/1995,NO
"Charleston, SC",South Carolina,0,36,'existing paid','new car',3079,0,1<=X<4,4,'male single',none,4,'real estate',36,none,own,1,skilled,1,none,y,good,?,5/15/1995,y
"Greenville, SC",South Carolina,0,18,'critical/other existing credit',radio/tv,6070,0,>=7,3,'male single',none,4,car,33,none,own,2,skilled,1,yes,NO,B,?,5/16/1995,NO
"Greenville, SC",South Carolina,0,10,'critical/other existing credit',furniture/equipment,2146,0,<1,?,'female div/dep/mar',none,3,'real estate',23,?,rent,2,skilled,1,none,no,GOOD,?,5/17/1995,no
"Horry, SC",South Carolina,0,60,'critical/other existing credit','new car',13756,0,>=7,2,'male single',none,4,'no known property',63,bank,'for free',1,'high qualif/self emp/mgmt',1,yes,1,G,?,5/18/1995,1
"Jasper, SC",South Carolina,17.17,60,'all paid',other,14782,179.18,>=7,3,'female div/dep/mar',none,?,'no known property',60,bank,'for free',?,'high qualif/self emp/mgmt',?,yes,y,good,?,5/19/1995,y
"Davidson, TN",Tennessee,-1282.34,48,'all paid',business,7685,17.26,4<=X<7,2,'female div/dep/mar',guarantor,4,car,37,none,rent,1,skilled,1,none,No,bad,?,5/20/1995,NO
"Shelby, TN",Tennessee,0,18,'delayed previously',radio/tv,?,0,?,2,'male mar/wid',?,3,'real estate',34,none,own,?,skilled,1,?,1,B,?,5/21/1995,1
"El Paso, TX",Texas,0,7,'delayed previously',?,?,0,?,3,'male single',none,4,'no known property',36,none,'for free',1,skilled,1,none,1,B,?,5/22/1995,1
"Harris, TX",Texas,40.41,36,'existing paid','new car',14318,19.21,>=7,?,'male single',none,?,'no known property',57,?,'for free',1,'high qualif/self emp/mgmt',1,?,yes,Bad,?,5/23/1995,yes
"Nueces, TX",Texas,0,6,'critical/other existing credit','new car',362,0,1<=X<4,4,'female div/dep/mar',none,4,car,?,none,own,2,'unskilled resident',1,none,Y,G,?,5/24/1995,Y
"Tarrant, TX",Texas,-4951.09,20,'existing paid',furniture/equipment,2212,0,4<=X<7,4,'male single',none,?,car,39,none,own,1,skilled,1,yes,N,G,?,5/25/1995,n
"Travis, TX",Texas,16.25,18,'existing paid','used car',12976,15.8,unemployed,?,?,?,4,?,38,none,'for free',1,'high qualif/self emp/mgmt',?,yes,no,Bad,?,5/26/1995,no
"Dallas, TX",Texas,0,22,'existing paid',?,1283,0,4<=X<7,4,'female div/dep/mar',none,4,'life insurance',25,none,rent,1,skilled,1,none,1,bad,?,5/27/1995,1
"Harris, TX",Texas,6548.27,12,'existing paid','new car',1330,41.97,<1,4,'male single',none,1,'real estate',26,none,own,1,skilled,1,none,n,GOOD,?,5/28/1995,N
"Bexar, TX",Texas,0,30,'delayed previously',business,4272,0,?,2,'male single',?,2,'life insurance',26,none,own,2,'unskilled resident',1,none,N,good,?,5/29/1995,n
"Prince William, VA",Virginia,0,18,'critical/other existing credit',radio/tv,2238,0,1<=X<4,2,'female div/dep/mar',none,1,car,25,?,own,2,?,1,none,1,GOOD,?,5/30/1995,1
"Norfolk, VA",Virginia,0,18,'existing paid',?,1126,0,?,4,?,none,2,'real estate',21,none,rent,1,skilled,1,yes,No,bad,?,5/31/1995,NO
"Richmond, VA",Virginia,5.42,18,'critical/other existing credit',furniture/equipment,?,35.21,?,4,'male single',none,4,?,40,stores,own,?,?,?,yes,YES,B,?,6/1/1995,YES
"Milwaukee, WI",Wisconsin,7.52,15,'critical/other existing credit',business,2326,0,1<=X<4,2,'male single',none,4,car,27,bank,own,1,skilled,1,none,Y,B,?,6/2/1995,Y
"Maricopa, AZ",Arizona,0,9,'existing paid',business,1449,0,4<=X<7,3,'female div/dep/mar',none,2,car,27,none,own,2,skilled,1,none,NO,Good,no,6/3/1995,NO
"Alameda, CA",California,0,18,'existing paid','new car',1820,0,1<=X<4,2,'male mar/wid',none,?,?,30,none,own,1,'high qualif/self emp/mgmt',1,yes,No,good,?,6/4/1995,NO
"Los Angeles, CA",California,94.64,12,'existing paid',furniture/equipment,983,7709.45,<1,1,?,none,4,'real estate',19,none,rent,1,'unskilled resident',1,?,Y,Bad,?,6/5/1995,Y
"Los Angeles, CA",California,-4316.81,36,'existing paid','new car',3249,58.43,4<=X<7,2,'male single',none,4,'no known property',39,bank,'for free',1,'high qualif/self emp/mgmt',2,yes,Y,Good,?,6/6/1995,Y
"Los Angeles, CA",California,-9454.08,6,'critical/other existing credit',radio/tv,1957,33.62,4<=X<7,1,'female div/dep/mar',none,4,car,31,?,own,1,skilled,1,none,y,Bad,?,6/7/1995,y
"Los Angeles, CA",California,0,9,'critical/other existing credit',furniture/equipment,2406,0,unemployed,2,'male single',none,3,car,31,none,own,?,'high qualif/self emp/mgmt',1,none,1,good,?,6/8/1995,1
"Sacramento, CA",California,83.64,39,'delayed previously',education,11760,450.89,4<=X<7,2,?,none,3,'no known property',32,none,rent,1,skilled,1,?,Yes,good,?,6/9/1995,YES
"San Bernardino, CA",California,-6338.95,12,'existing paid',furniture/equipment,2578,83.42,unemployed,3,'female div/dep/mar',none,4,'no known property',55,none,'for free',1,'high qualif/self emp/mgmt',1,?,y,G,?,6/10/1995,y
"San Diego, CA",California,-6143.29,36,'critical/other existing credit',furniture/equipment,2348,28.22,1<=X<4,3,'male mar/wid',?,?,'life insurance',46,none,own,2,skilled,?,yes,N,G,?,6/11/1995,n
"San Francisco, CA",California,115.65,12,'existing paid','new car',1223,29.79,>=7,1,'male div/sep',none,1,'real estate',46,?,rent,2,skilled,1,none,Yes,B,?,6/12/1995,YES
District of Columbia,District of Columbia,0,?,'critical/other existing credit',radio/tv,1516,0,1<=X<4,?,'female div/dep/mar',none,1,'real estate',43,none,own,2,'unskilled resident',1,none,no,GOOD,?,6/13/1995,no
"Chatham, GA",Georgia,0,18,'existing paid',radio/tv,1473,0,<1,3,'male mar/wid',?,4,'real estate',39,none,own,1,?,1,?,Yes,GOOD,?,6/14/1995,YES
"De Kalb, GA",Georgia,22.83,18,'critical/other existing credit',business,?,0,1<=X<4,?,'male mar/wid',none,4,'real estate',28,?,own,2,skilled,1,none,No,good,?,6/15/1995,NO
"De Kalb, GA",Georgia,0,?,'delayed previously',business,8648,0,<1,2,'male single',none,?,car,?,?,?,2,?,1,yes,N,Good,?,6/16/1995,n
"Fulton, GA",Georgia,0,14,'delayed previously','new car',802,0,?,4,'male single',none,2,car,27,none,own,2,'unskilled resident',1,?,yes,Good,?,6/17/1995,yes
"Fulton, GA",Georgia,195.71,18,'delayed previously','new car',2899,0,?,4,'male single',none,4,car,43,none,own,1,skilled,2,none,YES,Good,?,6/18/1995,YES
"Cook, IL",Illinois,195.91,24,?,radio/tv,2039,0,?,1,'male mar/wid',none,1,'life insurance',22,none,own,1,skilled,1,yes,NO,G,?,6/19/1995,NO
"Marion, IN",Indiana,0,?,'critical/other existing credit','used car',2197,0,4<=X<7,4,?,none,4,car,43,?,own,2,skilled,2,yes,NO,B,?,6/20/1995,NO
"Jefferson, KY",Kentucky,-2070.55,15,'existing paid',radio/tv,?,76.64,<1,4,'male mar/wid',none,?,'real estate',27,?,own,1,?,1,none,NO,Good,?,6/21/1995,NO
"East Baton Rouge, LA",Louisiana,0,24,'existing paid',radio/tv,3235,0,>=7,3,'male div/sep',none,2,car,26,none,own,1,'high qualif/self emp/mgmt',1,yes,n,Bad,?,6/22/1995,N
"Orleans, LA",Louisiana,5427.63,12,'critical/other existing credit','new car',939,671.95,4<=X<7,4,'male mar/wid',none,2,?,28,none,own,3,skilled,1,yes,Yes,B,?,6/23/1995,YES
"Suffolk, MA",Massachusetts,192.07,24,'existing paid',radio/tv,1967,37.69,>=7,4,'female div/dep/mar',none,4,?,20,?,own,1,skilled,1,?,YES,Good,?,6/24/1995,YES
"Baltimore city, MD",Maryland,0,33,'critical/other existing credit','used car',7253,0,4<=X<7,3,'male single',none,2,car,?,?,own,2,'high qualif/self emp/mgmt',1,yes,n,Bad,?,6/25/1995,N
"Wayne, MI",Michigan,0,12,'critical/other existing credit',business,2292,0,unemployed,4,'male single',none,2,car,42,stores,own,2,'high qualif/self emp/mgmt',1,yes,No,B,?,6/26/1995,NO
"Jackson, MO",Missouri,0,?,'existing paid','new car',1597,0,1<=X<4,3,'male single',none,2,'no known property',40,none,?,1,?,2,none,Yes,Bad,?,6/27/1995,YES
"Kansas City, MO",Missouri,-5613.36,24,?,'new car',1381,0,?,4,'female div/dep/mar',?,2,'life insurance',35,none,own,1,skilled,1,none,no,Good,?,6/28/1995,no
"Hinds, MS",Mississippi,0,36,'critical/other existing credit','used car',?,0,>=7,2,'male single',none,2,'life insurance',35,none,own,2,skilled,2,yes,N,bad,?,6/29/1995,n
"Mecklenburg, NC",North Carolina,-1850.94,12,'existing paid','new car',2579,37.56,<1,4,'male single',none,1,'real estate',33,?,own,1,'unskilled resident',2,none,n,Bad,?,6/30/1995,N
"Camden, NJ",New Jersey,-4803.59,18,'delayed previously',education,8471,0,?,1,'female div/dep/mar',?,2,car,23,none,rent,2,skilled,1,?,YES,Bad,?,7/1/1995,YES
"Mercer, NJ",New Jersey,0,21,'existing paid','new car',2782,0,4<=X<7,1,'female div/dep/mar',none,2,car,31,bank,own,1,'high qualif/self emp/mgmt',?,none,n,G,?,7/2/1995,N
"Passaic, NJ",New Jersey,75.95,18,'existing paid','new car',1042,0,1<=X<4,4,'female div/dep/mar',none,?,'life insurance',33,?,own,1,skilled,1,none,No,good,?,7/3/1995,NO
"Essex, NJ",New Jersey,0,15,'existing paid','new car',3186,0,?,2,'female div/dep/mar',none,3,car,20,none,rent,1,skilled,1,none,1,Good,?,7/4/1995,1
"Clark, NV",Nevada,141.44,12,'existing paid','used car',2028,0,1<=X<4,4,'male single',none,2,car,?,?,own,1,skilled,1,none,y,good,?,7/5/1995,y
"New York, NY",New York,24.74,12,'critical/other existing credit','new car',?,7.07,4<=X<7,2,'male single',none,3,'real estate',47,none,own,2,?,2,none,No,GOOD,?,7/6/1995,NO
"Suffolk, NY",New York,0,?,'delayed previously',furniture/equipment,1591,0,4<=X<7,4,'male single',none,3,'real estate',34,none,own,2,'high qualif/self emp/mgmt',1,none,No,GOOD,?,7/7/1995,NO
"Summit, OH",Ohio,30,12,'existing paid',furniture/equipment,2762,0,?,1,'female div/dep/mar',none,2,'life insurance',25,bank,own,1,skilled,1,yes,Yes,B,?,7/8/1995,YES
"Franklin, OH",Ohio,183.33,18,'existing paid','used car',2779,87.39,1<=X<4,1,?,none,3,car,21,?,rent,1,skilled,1,?,1,good,?,7/9/1995,1
"Multnomah, OR",Oregon,0,28,'critical/other existing credit',radio/tv,2743,0,>=7,4,'male single',none,2,car,29,none,?,2,skilled,1,none,YES,good,?,7/10/1995,YES
"Dauphin, PA",Pennsylvania,0,18,?,radio/tv,1149,0,?,4,'male single',none,3,'real estate',46,?,own,2,skilled,1,none,N,Bad,?,7/11/1995,n
"Philadelphia, PA",Pennsylvania,0,9,'existing paid',?,1313,0,>=7,1,'male single',none,4,car,20,none,own,1,?,1,none,YES,Bad,?,7/12/1995,YES
"Charleston, SC",South Carolina,-3788.1,18,'critical/other existing credit',repairs,1190,13.37,unemployed,2,'female div/dep/mar',none,4,?,55,none,'for free',3,'unemp/unskilled non res',2,none,1,Good,?,7/13/1995,1
"Greenville, SC",South Carolina,0,5,'existing paid',?,?,0,4<=X<7,1,'male single',none,?,'real estate',74,none,own,1,'unskilled resident',1,none,NO,B,?,7/14/1995,NO
"Davidson, TN",Tennessee,168.65,24,'existing paid',other,11328,56.29,1<=X<4,2,'male single','co applicant',3,car,29,bank,own,2,'high qualif/self emp/mgmt',1,yes,no,Good,?,7/15/1995,no
"Shelby, TN",Tennessee,-2941.81,6,'critical/other existing credit',furniture/equipment,1872,47.8,unemployed,4,'male single',none,4,'no known property',36,none,'for free',3,'high qualif/self emp/mgmt',?,yes,No,good,?,7/16/1995,NO
"Tarrant, TX",Texas,0,24,'critical/other existing credit',repairs,2058,0,1<=X<4,4,'male div/sep',?,2,'real estate',33,none,own,2,skilled,1,yes,NO,good,?,7/17/1995,NO
"Travis, TX",Texas,-9463.67,9,'existing paid',furniture/equipment,2136,0,1<=X<4,3,'male single',?,2,'real estate',25,none,own,1,skilled,1,none,no,G,?,7/18/1995,no
"Dallas, TX",Texas,1.11,12,'existing paid',radio/tv,1484,0,?,2,'male mar/wid',?,1,'real estate',25,none,own,1,skilled,1,yes,No,Bad,?,7/19/1995,NO
"Harris, TX",Texas,0,6,'existing paid',repairs,660,0,4<=X<7,2,'male mar/wid',none,4,'real estate',23,none,rent,1,'unskilled resident',1,none,Y,Bad,?,7/20/1995,Y
